"Tumor_Sample_Barcode" "Type"
"TCGA-A7-A0CE-11" "TCGA-A7-A0CE" "Normal"
"TCGA-A7-A0CH-11" "TCGA-A7-A0CH" "Normal"
"TCGA-A7-A0D9-11" "TCGA-A7-A0D9" "Normal"
"TCGA-A7-A0DB-11" "TCGA-A7-A0DB" "Normal"
"TCGA-A7-A0DC-11" "TCGA-A7-A0DC" "Normal"
"TCGA-A7-A13E-11" "TCGA-A7-A13E" "Normal"
"TCGA-A7-A13F-11" "TCGA-A7-A13F" "Normal"
"TCGA-A7-A13G-11" "TCGA-A7-A13G" "Normal"
"TCGA-AC-A23H-11" "TCGA-AC-A23H" "Normal"
"TCGA-AC-A2FB-11" "TCGA-AC-A2FB" "Normal"
"TCGA-AC-A2FF-11" "TCGA-AC-A2FF" "Normal"
"TCGA-AC-A2FM-11" "TCGA-AC-A2FM" "Normal"
"TCGA-BH-A0AU-11" "TCGA-BH-A0AU" "Normal"
"TCGA-BH-A0AY-11" "TCGA-BH-A0AY" "Normal"
"TCGA-BH-A0AZ-11" "TCGA-BH-A0AZ" "Normal"
"TCGA-BH-A0B2-11" "TCGA-BH-A0B2" "Normal"
"TCGA-BH-A0B3-11" "TCGA-BH-A0B3" "Normal"
"TCGA-BH-A0B5-11" "TCGA-BH-A0B5" "Normal"
"TCGA-BH-A0B7-11" "TCGA-BH-A0B7" "Normal"
"TCGA-BH-A0B8-11" "TCGA-BH-A0B8" "Normal"
"TCGA-BH-A0BA-11" "TCGA-BH-A0BA" "Normal"
"TCGA-BH-A0BC-11" "TCGA-BH-A0BC" "Normal"
"TCGA-BH-A0BJ-11" "TCGA-BH-A0BJ" "Normal"
"TCGA-BH-A0BM-11" "TCGA-BH-A0BM" "Normal"
"TCGA-BH-A0BQ-11" "TCGA-BH-A0BQ" "Normal"
"TCGA-BH-A0BS-11" "TCGA-BH-A0BS" "Normal"
"TCGA-BH-A0BT-11" "TCGA-BH-A0BT" "Normal"
"TCGA-BH-A0BV-11" "TCGA-BH-A0BV" "Normal"
"TCGA-BH-A0BW-11" "TCGA-BH-A0BW" "Normal"
"TCGA-BH-A0BZ-11" "TCGA-BH-A0BZ" "Normal"
"TCGA-BH-A0C0-11" "TCGA-BH-A0C0" "Normal"
"TCGA-BH-A0C3-11" "TCGA-BH-A0C3" "Normal"
"TCGA-BH-A0DD-11" "TCGA-BH-A0DD" "Normal"
"TCGA-BH-A0DG-11" "TCGA-BH-A0DG" "Normal"
