"Tumor_Sample_Barcode" "Type"
"TCGA-3C-AAAU-01" "TCGA-3C-AAAU" "Tumor"
"TCGA-3C-AALI-01" "TCGA-3C-AALI" "Tumor"
"TCGA-3C-AALJ-01" "TCGA-3C-AALJ" "Tumor"
"TCGA-3C-AALK-01" "TCGA-3C-AALK" "Tumor"
"TCGA-4H-AAAK-01" "TCGA-4H-AAAK" "Tumor"
"TCGA-5L-AAT0-01" "TCGA-5L-AAT0" "Tumor"
"TCGA-5T-A9QA-01" "TCGA-5T-A9QA" "Tumor"
"TCGA-A1-A0SB-01" "TCGA-A1-A0SB" "Tumor"
"TCGA-A1-A0SD-01" "TCGA-A1-A0SD" "Tumor"
"TCGA-A1-A0SE-01" "TCGA-A1-A0SE" "Tumor"
"TCGA-A1-A0SF-01" "TCGA-A1-A0SF" "Tumor"
"TCGA-A1-A0SG-01" "TCGA-A1-A0SG" "Tumor"
"TCGA-A1-A0SH-01" "TCGA-A1-A0SH" "Tumor"
"TCGA-A1-A0SI-01" "TCGA-A1-A0SI" "Tumor"
"TCGA-A1-A0SJ-01" "TCGA-A1-A0SJ" "Tumor"
"TCGA-A1-A0SK-01" "TCGA-A1-A0SK" "Tumor"
"TCGA-A1-A0SM-01" "TCGA-A1-A0SM" "Tumor"
"TCGA-A1-A0SN-01" "TCGA-A1-A0SN" "Tumor"
"TCGA-A1-A0SO-01" "TCGA-A1-A0SO" "Tumor"
"TCGA-A1-A0SP-01" "TCGA-A1-A0SP" "Tumor"
"TCGA-A1-A0SQ-01" "TCGA-A1-A0SQ" "Tumor"
"TCGA-A2-A04N-01" "TCGA-A2-A04N" "Tumor"
"TCGA-A2-A04P-01" "TCGA-A2-A04P" "Tumor"
"TCGA-A2-A04Q-01" "TCGA-A2-A04Q" "Tumor"
"TCGA-A2-A04R-01" "TCGA-A2-A04R" "Tumor"
"TCGA-A2-A04T-01" "TCGA-A2-A04T" "Tumor"
"TCGA-A2-A04U-01" "TCGA-A2-A04U" "Tumor"
"TCGA-A2-A04V-01" "TCGA-A2-A04V" "Tumor"
"TCGA-A2-A04W-01" "TCGA-A2-A04W" "Tumor"
"TCGA-A2-A04X-01" "TCGA-A2-A04X" "Tumor"
"TCGA-A2-A04Y-01" "TCGA-A2-A04Y" "Tumor"
"TCGA-A2-A0CK-01" "TCGA-A2-A0CK" "Tumor"
"TCGA-A2-A0CL-01" "TCGA-A2-A0CL" "Tumor"
"TCGA-A2-A0CM-01" "TCGA-A2-A0CM" "Tumor"
"TCGA-A2-A0CO-01" "TCGA-A2-A0CO" "Tumor"
"TCGA-A2-A0CP-01" "TCGA-A2-A0CP" "Tumor"
"TCGA-A2-A0CQ-01" "TCGA-A2-A0CQ" "Tumor"
"TCGA-A2-A0CR-01" "TCGA-A2-A0CR" "Tumor"
"TCGA-A2-A0CS-01" "TCGA-A2-A0CS" "Tumor"
"TCGA-A2-A0CT-01" "TCGA-A2-A0CT" "Tumor"
"TCGA-A2-A0CU-01" "TCGA-A2-A0CU" "Tumor"
"TCGA-A2-A0CV-01" "TCGA-A2-A0CV" "Tumor"
"TCGA-A2-A0CW-01" "TCGA-A2-A0CW" "Tumor"
"TCGA-A2-A0CX-01" "TCGA-A2-A0CX" "Tumor"
"TCGA-A2-A0CZ-01" "TCGA-A2-A0CZ" "Tumor"
"TCGA-A2-A0D0-01" "TCGA-A2-A0D0" "Tumor"
"TCGA-A2-A0D1-01" "TCGA-A2-A0D1" "Tumor"
"TCGA-A2-A0D2-01" "TCGA-A2-A0D2" "Tumor"
"TCGA-A2-A0D3-01" "TCGA-A2-A0D3" "Tumor"
"TCGA-A2-A0D4-01" "TCGA-A2-A0D4" "Tumor"
"TCGA-A2-A0EM-01" "TCGA-A2-A0EM" "Tumor"
"TCGA-A2-A0EN-01" "TCGA-A2-A0EN" "Tumor"
"TCGA-A2-A0EO-01" "TCGA-A2-A0EO" "Tumor"
"TCGA-A2-A0EP-01" "TCGA-A2-A0EP" "Tumor"
"TCGA-A2-A0EQ-01" "TCGA-A2-A0EQ" "Tumor"
"TCGA-A2-A0ER-01" "TCGA-A2-A0ER" "Tumor"
"TCGA-A2-A0ES-01" "TCGA-A2-A0ES" "Tumor"
"TCGA-A2-A0ET-01" "TCGA-A2-A0ET" "Tumor"
"TCGA-A2-A0EU-01" "TCGA-A2-A0EU" "Tumor"
"TCGA-A2-A0EV-01" "TCGA-A2-A0EV" "Tumor"
"TCGA-A2-A0EW-01" "TCGA-A2-A0EW" "Tumor"
"TCGA-A2-A0EX-01" "TCGA-A2-A0EX" "Tumor"
"TCGA-A2-A0EY-01" "TCGA-A2-A0EY" "Tumor"
"TCGA-A2-A0ST-01" "TCGA-A2-A0ST" "Tumor"
"TCGA-A2-A0SU-01" "TCGA-A2-A0SU" "Tumor"
"TCGA-A2-A0SV-01" "TCGA-A2-A0SV" "Tumor"
"TCGA-A2-A0SW-01" "TCGA-A2-A0SW" "Tumor"
"TCGA-A2-A0SX-01" "TCGA-A2-A0SX" "Tumor"
"TCGA-A2-A0SY-01" "TCGA-A2-A0SY" "Tumor"
"TCGA-A2-A0T0-01" "TCGA-A2-A0T0" "Tumor"
"TCGA-A2-A0T1-01" "TCGA-A2-A0T1" "Tumor"
"TCGA-A2-A0T2-01" "TCGA-A2-A0T2" "Tumor"
"TCGA-A2-A0T3-01" "TCGA-A2-A0T3" "Tumor"
"TCGA-A2-A0T4-01" "TCGA-A2-A0T4" "Tumor"
"TCGA-A2-A0T5-01" "TCGA-A2-A0T5" "Tumor"
"TCGA-A2-A0T6-01" "TCGA-A2-A0T6" "Tumor"
"TCGA-A2-A0T7-01" "TCGA-A2-A0T7" "Tumor"
"TCGA-A2-A0YC-01" "TCGA-A2-A0YC" "Tumor"
"TCGA-A2-A0YD-01" "TCGA-A2-A0YD" "Tumor"
"TCGA-A2-A0YE-01" "TCGA-A2-A0YE" "Tumor"
"TCGA-A2-A0YF-01" "TCGA-A2-A0YF" "Tumor"
"TCGA-A2-A0YG-01" "TCGA-A2-A0YG" "Tumor"
"TCGA-A2-A0YH-01" "TCGA-A2-A0YH" "Tumor"
"TCGA-A2-A0YI-01" "TCGA-A2-A0YI" "Tumor"
"TCGA-A2-A0YJ-01" "TCGA-A2-A0YJ" "Tumor"
"TCGA-A2-A0YK-01" "TCGA-A2-A0YK" "Tumor"
"TCGA-A2-A0YL-01" "TCGA-A2-A0YL" "Tumor"
"TCGA-A2-A0YM-01" "TCGA-A2-A0YM" "Tumor"
"TCGA-A2-A0YT-01" "TCGA-A2-A0YT" "Tumor"
"TCGA-A2-A1FV-01" "TCGA-A2-A1FV" "Tumor"
"TCGA-A2-A1FW-01" "TCGA-A2-A1FW" "Tumor"
"TCGA-A2-A1FX-01" "TCGA-A2-A1FX" "Tumor"
"TCGA-A2-A1FZ-01" "TCGA-A2-A1FZ" "Tumor"
"TCGA-A2-A1G0-01" "TCGA-A2-A1G0" "Tumor"
"TCGA-A2-A1G1-01" "TCGA-A2-A1G1" "Tumor"
"TCGA-A2-A1G4-01" "TCGA-A2-A1G4" "Tumor"
