"","dynamicColors","mergedColors"
"EFCAB8","grey","grey"
"GTPBP6","yellow","yellow"
"EFCAB12","brown","brown"
"A1BG","yellow","yellow"
"A2M","tan","tan"
"A2ML1","brown","brown"
"A4GALT","yellow","yellow"
"A4GNT","grey","grey"
"AACS","grey","grey"
"AADAC","salmon","salmon"
"AADAT","brown","brown"
"AAGAB","brown","brown"
"AAK1","turquoise","turquoise"
"AANAT","grey","grey"
"AARS","green","green"
"AARSD1","turquoise","turquoise"
"AASDH","turquoise","turquoise"
"AASDHPPT","yellow","yellow"
"AASS","green","green"
"AATK","yellow","yellow"
"ABAT","brown","brown"
"ABCA10","greenyellow","greenyellow"
"ABCA1","turquoise","turquoise"
"ABCA12","grey","grey"
"ABCA13","pink","pink"
"ABCA2","purple","purple"
"ABCA3","brown","brown"
"ABCA4","grey","grey"
"ABCA5","grey","grey"
"ABCA6","tan","tan"
"ABCA7","yellow","yellow"
"ABCA8","greenyellow","greenyellow"
"ABCA9","tan","tan"
"ABCB10","turquoise","turquoise"
"ABCB11","grey","grey"
"ABCB1","greenyellow","greenyellow"
"ABCB4","tan","tan"
"ABCB5","greenyellow","greenyellow"
"ABCB6","blue","blue"
"ABCB8","yellow","yellow"
"ABCB9","grey","grey"
"ABCC10","blue","blue"
"ABCC11","brown","brown"
"ABCC12","brown","brown"
"ABCC1","grey","grey"
"ABCC2","grey","grey"
"ABCC3","black","black"
"ABCC4","pink","pink"
"ABCC5","grey","grey"
"ABCC6","green","green"
"ABCC8","brown","brown"
"ABCC9","tan","tan"
"ABCD1","blue","blue"
"ABCD2","red","magenta"
"ABCD3","blue","blue"
"ABCD4","green","green"
"ABCG1","brown","brown"
"ABCG2","greenyellow","greenyellow"
"ABCG4","grey","grey"
"ABCG5","grey","grey"
"ABHD11","turquoise","turquoise"
"ABHD12","turquoise","turquoise"
"ABHD12B","brown","brown"
"ABHD14A","turquoise","turquoise"
"ABHD14B","purple","purple"
"ABHD15","blue","blue"
"ABHD1","purple","purple"
"ABHD2","blue","blue"
"ABHD3","grey","grey"
"ABHD4","black","black"
"ABHD6","grey","grey"
"ABHD8","yellow","yellow"
"ABI3","magenta","magenta"
"ABI3BP","greenyellow","greenyellow"
"ABL2","pink","pink"
"ABLIM1","turquoise","turquoise"
"ABLIM2","grey","grey"
"ABLIM3","green","green"
"ABO","tan","tan"
"ABR","grey","grey"
"ABRA","grey","grey"
"ABTB1","yellow","yellow"
"ABTB2","brown","brown"
"ACAA1","yellow","yellow"
"ACAA2","brown","brown"
"ACACA","turquoise","turquoise"
"ACACB","salmon","salmon"
"ACAD11","grey","grey"
"ACAD8","green","green"
"ACADL","salmon","salmon"
"ACADM","turquoise","turquoise"
"ACADS","yellow","yellow"
"ACADSB","brown","brown"
"ACADVL","yellow","yellow"
"ACAN","grey","grey"
"ACAP1","red","magenta"
"ACAP2","turquoise","turquoise"
"ACAP3","yellow","yellow"
"ACAT1","grey","grey"
"ACAT2","green","green"
"ACBD3","turquoise","turquoise"
"ACBD4","purple","purple"
"ACBD5","turquoise","turquoise"
"ACBD6","turquoise","turquoise"
"ACBD7","green","green"
"ACCS","yellow","yellow"
"ACD","turquoise","turquoise"
"ACE","grey","grey"
"ACE2","brown","brown"
"ACER1","grey","grey"
"ACER2","blue","blue"
"ACER3","yellow","yellow"
"ACHE","red","magenta"
"ACLY","turquoise","turquoise"
"ACMSD","brown","brown"
"ACO1","tan","tan"
"ACO2","grey","grey"
"ACOT11","green","green"
"ACOT13","tan","tan"
"ACOT1","brown","brown"
"ACOT2","brown","brown"
"ACOT4","brown","brown"
"ACOT6","brown","brown"
"ACOT7","green","green"
"ACOT8","turquoise","turquoise"
"ACOT9","magenta","magenta"
"ACOX1","turquoise","turquoise"
"ACOX2","brown","brown"
"ACOX3","green","green"
"ACOXL","grey","grey"
"ACP2","magenta","magenta"
"ACP5","magenta","magenta"
"ACP6","green","green"
"ACPP","grey","grey"
"ACR","pink","pink"
"ACRBP","magenta","magenta"
"ACRV1","green","green"
"ACSBG1","grey","grey"
"ACSBG2","grey","grey"
"ACSF2","green","green"
"ACSF3","yellow","yellow"
"ACSL1","magenta","magenta"
"ACSL3","turquoise","turquoise"
"ACSL4","pink","pink"
"ACSL5","red","magenta"
"ACSL6","red","magenta"
"ACSM1","green","green"
"ACSM3","grey","grey"
"ACSM5","salmon","salmon"
"ACSS1","grey","grey"
"ACSS2","grey","grey"
"ACSS3","blue","blue"
"ACTA1","grey","grey"
"ACTA2","black","black"
"ACTB","blue","blue"
"ACTBL2","pink","pink"
"ACTC1","grey","grey"
"ACTG2","pink","pink"
"ACTL6A","green","green"
"ACTL8","green","green"
"ACTN1","black","black"
"ACTN2","grey","grey"
"ACTN3","grey","grey"
"ACTR3","purple","purple"
"ACTR3B","brown","brown"
"ACTR3C","grey","grey"
"ACVR1","black","black"
"ACVR1B","brown","brown"
"ACVR1C","salmon","salmon"
"ACVR2A","tan","tan"
"ACVR2B","turquoise","turquoise"
"ACVRL1","greenyellow","greenyellow"
"ACY1","purple","purple"
"ACY3","red","magenta"
"ACYP1","turquoise","turquoise"
"ACYP2","turquoise","turquoise"
"ADA","red","magenta"
"ADAD2","yellow","yellow"
"ADAL","brown","brown"
"ADAM10","turquoise","turquoise"
"ADAM11","yellow","yellow"
"ADAM12","black","black"
"ADAM15","blue","blue"
"ADAM17","turquoise","turquoise"
"ADAM19","magenta","magenta"
"ADAM20","grey","grey"
"ADAM21","grey","grey"
"ADAM22","turquoise","turquoise"
"ADAM23","black","black"
"ADAM28","magenta","magenta"
"ADAM29","grey","grey"
"ADAM32","grey","grey"
"ADAM33","greenyellow","greenyellow"
"ADAM8","magenta","magenta"
"ADAM9","turquoise","turquoise"
"ADAMDEC1","red","magenta"
"ADAMTS10","black","black"
"ADAMTS12","black","black"
"ADAMTS13","purple","purple"
"ADAMTS14","black","black"
"ADAMTS15","brown","brown"
"ADAMTS16","black","black"
"ADAMTS17","black","black"
"ADAMTS18","tan","tan"
"ADAMTS19","grey","grey"
"ADAMTS1","greenyellow","greenyellow"
"ADAMTS2","black","black"
"ADAMTS3","pink","pink"
"ADAMTS4","black","black"
"ADAMTS5","tan","tan"
"ADAMTS6","black","black"
"ADAMTS7","black","black"
"ADAMTS8","greenyellow","greenyellow"
"ADAMTS9","tan","tan"
"ADAMTSL1","tan","tan"
"ADAMTSL2","black","black"
"ADAMTSL3","turquoise","turquoise"
"ADAMTSL4","magenta","magenta"
"ADAMTSL5","brown","brown"
"ADAP1","purple","purple"
"ADAP2","magenta","magenta"
"ADAR","turquoise","turquoise"
"ADARB1","pink","pink"
"ADARB2","grey","grey"
"ADAT1","turquoise","turquoise"
"ADAT2","brown","brown"
"ADAT3","yellow","yellow"
"ADCK1","turquoise","turquoise"
"ADCK5","yellow","yellow"
"ADCY10","grey","grey"
"ADCY1","brown","brown"
"ADCY2","black","black"
"ADCY3","magenta","magenta"
"ADCY4","greenyellow","greenyellow"
"ADCY5","greenyellow","greenyellow"
"ADCY6","brown","brown"
"ADCY7","magenta","magenta"
"ADCY9","brown","brown"
"ADCYAP1","grey","grey"
"ADCYAP1R1","tan","tan"
"ADD2","pink","pink"
"ADD3","pink","pink"
"ADH1A","salmon","salmon"
"ADH1B","salmon","salmon"
"ADH1C","salmon","salmon"
"ADH4","salmon","salmon"
"ADH6","grey","grey"
"ADHFE1","green","green"
"ADI1","blue","blue"
"ADIPOQ","salmon","salmon"
"ADIPOR1","blue","blue"
"ADIPOR2","grey","grey"
"ADK","grey","grey"
"ADM","blue","blue"
"ADM2","blue","blue"
"ADNP2","turquoise","turquoise"
"ADNP","turquoise","turquoise"
"ADORA1","grey","grey"
"ADORA2A","red","magenta"
"ADORA2B","pink","pink"
"ADORA3","magenta","magenta"
"ADPRH","magenta","magenta"
"ADPRHL1","grey","grey"
"ADPRHL2","blue","blue"
"ADRA1A","salmon","salmon"
"ADRA1B","grey","grey"
"ADRA1D","greenyellow","greenyellow"
"ADRA2A","tan","tan"
"ADRA2B","blue","blue"
"ADRA2C","yellow","yellow"
"ADRB1","salmon","salmon"
"ADRB2","magenta","magenta"
"ADRB3","salmon","salmon"
"ADRM1","yellow","yellow"
"ADSS","yellow","yellow"
"ADSSL1","purple","purple"
"AEBP1","black","black"
"AEN","blue","blue"
"AFAP1","tan","tan"
"AFAP1L1","greenyellow","greenyellow"
"AFAP1L2","tan","tan"
"AFF1","blue","blue"
"AFF2","tan","tan"
"AFF3","brown","brown"
"AFF4","blue","blue"
"AFMID","green","green"
"AFP","grey","grey"
"C11orf96","greenyellow","greenyellow"
"AGA","grey","grey"
"AGAP1","turquoise","turquoise"
"AGAP2","red","magenta"
"AGAP3","yellow","yellow"
"AGAP4","yellow","yellow"
"AGAP5","blue","blue"
"AGAP6","yellow","yellow"
"AGBL2","brown","brown"
"AGBL3","grey","grey"
"AGBL4","brown","brown"
"AGBL5","black","black"
"AGER","yellow","yellow"
"AGFG2","purple","purple"
"AGL","turquoise","turquoise"
"AGMAT","red","magenta"
"AGPAT2","yellow","yellow"
"AGPAT4","pink","pink"
"AGPAT5","turquoise","turquoise"
"AGPS","turquoise","turquoise"
"AGR2","brown","brown"
"AGR3","brown","brown"
"AGRN","yellow","yellow"
"AGRP","grey","grey"
"AGT","grey","grey"
"AGTPBP1","purple","purple"
"AGTR1","brown","brown"
"AGTRAP","turquoise","turquoise"
"AHCTF1","yellow","yellow"
"AHCY","green","green"
"AHCYL1","blue","blue"
"AHCYL2","turquoise","turquoise"
"AHDC1","yellow","yellow"
"AHI1","turquoise","turquoise"
"AHNAK2","black","black"
"AHNAK","blue","blue"
"AHR","tan","tan"
"AHRR","grey","grey"
"AHSA1","blue","blue"
"AICDA","red","magenta"
"AIF1","magenta","magenta"
"AIF1L","brown","brown"
"AIFM1","tan","tan"
"AIFM2","turquoise","turquoise"
"AIFM3","yellow","yellow"
"AIG1","red","magenta"
"AIM2","red","magenta"
"AIP","yellow","yellow"
"AJAP1","greenyellow","greenyellow"
"AK1","turquoise","turquoise"
"AK3","grey","grey"
"AK5","green","green"
"AK7","brown","brown"
"AKAP10","turquoise","turquoise"
"AKAP11","turquoise","turquoise"
"AKAP12","tan","tan"
"AKAP13","turquoise","turquoise"
"AKAP1","grey","grey"
"AKAP3","pink","pink"
"AKAP5","blue","blue"
"AKAP6","turquoise","turquoise"
"AKAP7","red","magenta"
"AKAP8L","yellow","yellow"
"AKAP9","turquoise","turquoise"
"AKNA","red","magenta"
"AKNAD1","grey","grey"
"AKR1A1","turquoise","turquoise"
"AKR1B10","grey","grey"
"AKR1B1","magenta","magenta"
"AKR1B15","brown","brown"
"AKR1C1","salmon","salmon"
"AKR1C2","salmon","salmon"
"AKR1C3","salmon","salmon"
"AKR1D1","grey","grey"
"AKR1E2","brown","brown"
"AKR7A2","purple","purple"
"AKR7A3","brown","brown"
"AKT1","yellow","yellow"
"AKT3","tan","tan"
