"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CPA1",-3.85112751423049,1.11723726985228,-37.4092028638639,2.09869946792751e-203,4.29939572999631e-199,454.752244766438
"NEK2",4.57560742405146,8.24285348887575,36.5944048359951,2.68536247635477e-197,2.75061678453019e-193,440.730652522588
"MYOC",-5.89674930349224,1.75380397547493,-35.6903033456269,1.63885008722019e-190,1.11911609622643e-186,425.150690511069
"CA4",-6.59357418112572,2.13932987953607,-35.5189301634519,3.1733326939607e-189,1.62522233921197e-185,422.195657771199
"GPAM",-3.65254044989381,9.13937931731244,-34.9600140097852,5.0111580909656e-185,2.05317169303043e-181,412.555507564873
"HSD17B13",-4.76734796808455,2.21993094218981,-34.7708601193798,1.32146596419834e-183,4.51192529042788e-180,409.292383857908
"LOC572558",-3.08935056410082,0.912409398399713,-34.6177270751681,1.86892593375168e-182,5.46954523983385e-179,406.650545810083
"MMP11",5.81986672637794,11.758568546392,34.3094991046898,3.86747528500977e-180,9.90363733608876e-177,401.332931080327
"COL10A1",6.7792773713678,9.91135698921579,34.1870418447735,3.2171570232433e-179,7.32296430868469e-176,399.220312953919
"FIGF",-6.1462503292871,3.62835462167655,-33.6599499418389,2.93160918382754e-175,6.0056945739891e-172,390.128067237945
"PKMYT1",4.53673028317957,7.82134034324794,33.4585974092469,9.53578572109275e-174,1.77591005711187e-170,386.655552400623
"MESTIT1",-3.3143368586639,1.54526210886313,-33.3323316673357,8.46311716370209e-173,1.44479515179668e-169,384.478293088712
"LRRC3B",-3.76853218312877,1.42832807986951,-33.2944195554048,1.63005419378555e-172,2.56871463183775e-169,383.824609905281
"LYVE1",-5.01247832812676,5.61306459664256,-32.9063362296748,1.33498949557425e-169,1.95347105759529e-166,377.134908398272
"KIF4A",4.3088053903985,8.33029305071789,32.8369364170095,4.42884601041399e-169,6.04862262462274e-166,375.938969828115
"GLYAT",-5.94785020929335,2.17352472635445,-32.0726026835313,2.38835606647072e-163,3.05799139860745e-160,362.776957191852
"AQP7P3",-3.27549565027299,0.899687762504211,-32.0349359154811,4.57441862244652e-163,5.51244352349644e-160,362.128849526436
"ADRA1A",-3.80468924348162,1.5792504991702,-31.9415057929855,2.29245125100257e-162,2.6090642404466e-159,360.521502332416
"KIAA0101",3.54819878209876,7.83565848295887,31.7411725849511,7.25481258151931e-161,7.82221529184235e-158,357.076255355349
"UHRF1",3.68929067469045,8.09648509901558,31.17312650865,1.28917102215633e-156,1.32049787799473e-153,347.317528592161
"CAV1",-3.37210184027855,10.6048313655393,-31.1647273779832,1.4896745852063e-156,1.45321302631125e-153,347.173361907727
"IQGAP3",4.00196347583614,8.74234784268069,30.9634399780197,4.7547486017293e-155,4.42753544795575e-152,343.719570381947
"LHCGR",-2.91431296470816,0.682762858965358,-30.9339571344384,7.89476214999184e-155,7.0318303219449e-152,343.213887672356
"APOB",-5.07360617825652,2.27970167927706,-30.8699841116574,2.37183140962767e-154,2.02455576073468e-151,342.116818120938
"TNS1",-2.85057405075398,11.607585344645,-30.8399931749447,3.97206034418004e-154,3.25486512843489e-151,341.60259154812
"SNAP47",-2.58630503556509,6.8446953539836,-30.7251216712594,2.86084949881973e-153,2.25412933972388e-150,339.633517654313
"AQP7P1",-5.28219128274009,2.47146580178928,-30.7142578076113,3.4480326177876e-153,2.6161628225184e-150,339.447337778878
"SPC25",3.20975812036678,6.58719851485799,30.5167957099951,1.02477847921818e-151,7.49771854473702e-149,336.064675313849
"GLRA4",-2.67870635071603,0.734186676743525,-30.5100203170932,1.15120824056363e-151,8.13229379868502e-149,335.948654604621
"MYOM1",-3.89170281520274,5.24671254951434,-30.4648998297915,2.49793340822343e-151,1.70575546002884e-148,335.176099408497
"ANGPT4",-2.97531401117963,1.3011016995665,-30.3870727096168,9.50012870911593e-151,6.27805279790158e-148,333.843873099953
"CDC25C",3.80938247747991,6.1010537005859,30.2358932717192,1.27095668800955e-149,8.13650584705116e-147,331.257257775346
"ADH4",-3.37252813929713,1.02620184737299,-30.1975499193052,2.45302332667541e-149,1.52280714758401e-146,330.601486086311
"TRPM3",-2.46475267924299,0.905358334703315,-29.8939537530662,4.45727537681359e-147,2.6856395108648e-144,325.413182204707
"TRHDE-AS1",-5.39562342136432,2.20584331496646,-29.8447418016502,1.03515490236643e-146,6.01307891179316e-144,324.572865182527
"PPP1R12B",-2.24527681425976,9.92307008120383,-29.843539801185,1.05667695413723e-146,6.01307891179316e-144,324.552342948025
"NAALAD2",-3.13063894001802,3.83106976272623,-29.6344015527693,3.78517960133518e-145,2.09576187332304e-142,320.983485745425
"FAM13A",-2.57039201416328,8.67260078009786,-29.5520386900322,1.54771631382567e-144,8.34382010658757e-142,319.57902908761
"PAFAH1B3",2.52387923394364,9.89564133575117,29.538023807587,1.96669178881478e-144,1.0330678970682e-141,319.340105942704
"ASF1B",3.01286800273872,8.58218321822459,29.5317914439655,2.18777295172281e-144,1.12046791722484e-141,319.233863356575
"FHL1",-4.32530412211749,9.36572935330315,-29.4405833937112,1.03970924000033e-143,5.19499597332849e-141,317.679445665916
"PAMR1",-4.10000767680983,6.56056998174087,-29.3322779554621,6.61124779208279e-143,3.22471481591924e-140,315.834629674014
"NUF2",3.88928596749321,7.58687485543885,29.326997171459,7.23506355678339e-143,3.44691888428522e-140,315.744707452946
"AQPEP",-4.58428941192707,2.97794382867943,-29.2967234944924,1.21313924647043e-142,5.64826604618027e-140,315.229251796618
"ANGPTL7",-5.22525661506665,2.04124397747864,-29.1635138077106,1.17804731708444e-141,5.36299496395376e-139,312.962186907173
"HEPACAM",-5.16521753087263,2.26742338388123,-29.1361367892992,1.87918262796082e-141,8.36889898182724e-139,312.496475553341
"NKAPL",-2.69718580941736,2.9222797737361,-29.1280023893593,2.15884616456826e-141,9.40981330369052e-139,312.358115107485
"HEPN1",-4.93378823842475,2.16076892938473,-28.9534091703195,4.23420838826541e-140,1.80712485504178e-137,309.389988676308
"HPSE2",-4.17194872707823,1.77083214823559,-28.8327492505686,3.30565902668523e-139,1.38203532287089e-136,307.340548324517
"GPR146",-2.72368346560454,6.62055845378688,-28.774494254064,8.9108138544328e-139,3.65093865243821e-136,306.351614569982
"UBE2C",4.1972391927649,8.59254255375135,28.7626962411741,1.08922375989501e-138,4.37526234219787e-136,306.151375752341
"SDPR",-4.6893501694595,7.12853510307408,-28.6569952538076,6.57764308766247e-138,2.59133839026641e-135,304.358056188175
"SIK2",-2.22919388148579,9.24756037208881,-28.6011751865515,1.69931989681898e-137,6.5683523407988e-135,303.41150271929
"SLC2A4",-4.35892498011523,4.47792044167131,-28.5543128582151,3.76891660591921e-137,1.42981528868261e-134,302.61711196543
"NPR1",-3.50413372333522,7.40627355463285,-28.4762583017455,1.41966495374549e-136,5.28786477135092e-134,301.294505905935
"KIF20A",3.76362478468176,8.46233291325218,28.4642113026348,1.74202720372776e-136,6.37270880277981e-134,301.09043485098
"ADAMTS5",-3.53175840922351,7.98328433613008,-28.4522498405416,2.13444985699583e-136,7.67128767902043e-134,300.887828999636
"NUSAP1",3.11546452938669,9.22922138726334,28.4391349536416,2.66696220586668e-136,9.41989443954909e-134,300.665704836512
"HMMR",3.37211372441756,7.59236242481553,28.4345077961244,2.88498235724161e-136,1.00172455204155e-133,300.587340278674
"CAV2",-2.97711539906578,9.14392423275319,-28.4068072675583,4.61762293936866e-136,1.57661039226511e-133,300.118261047584
"B3GALT1",-3.04546598020893,1.34129639999309,-28.3779217866539,7.54034969697179e-136,2.53232137528138e-133,299.629209457238
"UBE2T",3.12494939258652,8.22197827028624,28.3460322552292,1.29558215150684e-135,4.28085418641437e-133,299.089408778261
"ITIH5",-4.24741920705331,8.31216331767806,-28.3390555999844,1.4584331043874e-135,4.74245405975878e-133,298.9713291825
"PYCR1",2.51314782214816,10.8959394721708,28.2428099904169,7.4647388925552e-135,2.38941626488884e-132,297.3429563468
"HJURP",3.56637468764673,7.53652662277058,28.225296644467,1.00461650438587e-134,3.16624210905369e-132,297.046766527156
"SLC22A12",-2.25842306924495,0.434552336995424,-28.1944205143199,1.69575955677372e-134,5.26353489091915e-132,296.524670966369
"PDE2A",-3.40082339157638,7.16557457902037,-28.1442986818706,3.96591370711537e-134,1.21262251050695e-131,295.677385812143
"DLGAP5",3.71371854982562,7.69175331203599,28.0986676848037,8.59306114196476e-134,2.58878603756309e-131,294.906279657967
"WDR62",3.14737990323732,7.28443599661999,28.0773831236578,1.23238459825477e-133,3.65893201157207e-131,294.546684085005
"KCNIP2",-5.04260743392875,5.54009995662636,-28.0637688080975,1.55202672034762e-133,4.54211705614877e-131,294.316703798805
"ACVR1C",-4.92073113984068,4.89653125242759,-28.0487235154849,2.00247706128316e-133,5.77785141935871e-131,294.062577127186
"SPTBN1",-1.89351596329437,12.5709105443572,-28.0062458919452,4.11106187348091e-133,1.16971129916847e-130,293.345247633536
"HSD17B6",2.93377127821755,6.11799482238373,27.9701381937073,7.57563088575621e-133,2.12595033322742e-130,292.735664441344
"PBK",3.62453730345191,7.47380654757739,27.9546114874687,9.8525779288356e-133,2.72756637094765e-130,292.473586984507
"TROAP",3.79462931060272,7.26828858979619,27.9484149610064,1.09419466987241e-132,2.98875626760083e-130,292.36900337018
"LOC729467",-1.72449748766724,0.336715268056062,-27.9042423302021,2.31049209850752e-132,6.22799225395066e-130,291.623607276221
"CD300LG",-6.45534477611903,4.46000606450593,-27.9014226823794,2.42337994352799e-132,6.44744954845642e-130,291.576035166385
"TPX2",3.41787367408094,9.91079886855245,27.7952426305198,1.45964301821092e-131,3.8336213937268e-129,289.785339865067
"DPP6",-3.95649496045667,1.9049342243727,-27.756716052728,2.79926725401852e-131,7.25896062858524e-129,289.135959003065
"ADH1A",-5.10901993173198,2.34145447899611,-27.6853289157176,9.35033983295835e-131,2.39438827272481e-128,287.933211823293
"EPB42",-3.40041659275065,1.05044858598118,-27.6793153309265,1.03499230155171e-130,2.61763608513436e-128,287.831924106882
"DTL",3.07093672861488,8.63434973718248,27.5389675951539,1.10610499821962e-129,2.76337402360086e-127,285.469393434271
"BTNL9",-4.34385615745031,6.52388741799033,-27.5342086832458,1.19856830619852e-129,2.95829762900999e-127,285.389331131035
"GSN",-2.37767295954807,13.0573162300159,-27.5280004176781,1.33090173583419e-129,3.24581582860704e-127,285.284890016412
"HIF3A",-4.98378667455045,3.35393670617631,-27.4940873743818,2.35809183629795e-129,5.68327874804703e-127,284.714466360813
"ABCA10",-4.5485243060498,4.08593331839451,-27.492942730844,2.40405333511067e-129,5.72667867710201e-127,284.695215981062
"SORBS1",-3.38568714950208,9.92506930295258,-27.4738349429496,3.31801461012634e-129,7.81297095437337e-127,284.37389160461
"KLB",-4.14055854475423,4.86372542608789,-27.46830772954,3.64210368798766e-129,8.47865183546763e-127,284.280953052733
"RYR3",-3.60114224709789,3.75025176113539,-27.385850394807,1.46198826774116e-128,3.3652013093197e-126,282.894956310391
"BUB1",3.51565123453637,8.26993118645708,27.3602903095288,2.24885654399411e-128,5.11889724002927e-126,282.465517426405
"PYGM",-3.53299769669109,3.66428323910349,-27.3348759679748,3.45043542243653e-128,7.76765055648734e-126,282.03861789293
"TK1",3.03539000791352,9.67394446719104,27.2669781333702,1.08235440189042e-127,2.41012089968773e-125,280.898545020853
"ARHGAP20",-3.45763604960483,5.46963618919803,-27.2653635985271,1.11217248844409e-127,2.44988877400706e-125,280.871443316277
"MELK",3.8217738670206,7.7785802590171,27.2348305837366,1.85928463083892e-127,4.05205371780492e-125,280.358983824922
"CDK1",3.03795525990659,9.26431388275418,27.1901212186676,3.94487897775414e-127,8.50682007771278e-125,279.608832605472
"KLHL33",-2.07742213953938,0.899041805303777,-27.1727464289561,5.28391951932704e-127,1.12756640909306e-124,279.31738930744
"KIF18B",3.70972462393458,7.00029395606626,27.1600878712846,6.53754642024549e-127,1.38070284500154e-124,279.105083212418
"PAPPA2",-3.3986907217794,1.7706117538658,-27.1552967345,7.08609227327088e-127,1.48128251336967e-124,279.024733553218
"EBF1",-3.03641040448571,7.59599759021292,-27.0964811580704,1.90479203787408e-126,3.94157269574629e-124,278.038640675209
"LPL",-4.71341931371495,9.10347081067697,-27.0871385895483,2.22865037564356e-126,4.5656131595434e-124,277.8820511973
"CCDC64",2.99114577572124,8.25886661023972,27.0693760814945,3.00386756187259e-126,6.09279513589325e-124,277.584371695299
"CAT",-1.8334290491947,10.7512516898467,-27.0532084541906,3.941503537131e-126,7.91623935898684e-124,277.313461022568
"C16orf59",2.87279672493426,6.59720592016864,27.0475874070619,4.3318843214323e-126,8.6158235154235e-124,277.219281750847
"PPAPDC1A",4.89669938800112,5.92156642861324,27.0435937088358,4.6325095103017e-126,9.12515286808083e-124,277.152371153687
"PLK1",3.47855784640042,8.48832254291413,27.0426162030708,4.70921370972372e-126,9.18790019594288e-124,277.135994338533
