"","p.value","HR","Low 95%CI","High 95%CI"
"APOBEC3A",0.214535660823435,0.940340050128326,0.853294890830273,1.03626474197561
"CCL8",0.479218233780382,0.966777036700616,0.880399538079594,1.06162917887302
"EPSTI1",0.0792033371205082,0.893059183628321,0.78710755865586,1.01327283252732
"ETV7",0.00396619411793686,0.854434570010161,0.767709344075105,0.950956817267848
"HSH2D",0.180050794343662,0.931829221886336,0.840438296143703,1.03315817799529
"IFI6",0.268396421188475,0.94617794237624,0.857873279564977,1.04357219179657
"IL22RA1",0.00178547747784617,0.836365487576883,0.74766099772984,0.935594114088692
"ISG15",0.242310549926538,0.944915514566836,0.859299603445543,1.03906172665387
"OAS1",0.219289944992388,0.922822325138759,0.811826777734906,1.04899353794485
"OAS2",0.0843404294729445,0.899289367287097,0.797170173442932,1.01449024694791
"OAS3",0.545250295890307,0.958665236924935,0.836112292431841,1.09918134777723
"OASL",0.0766737236287796,0.909546548916605,0.818915396866063,1.01020804812321
"PSME2",0.000245196221413578,0.65256138001418,0.519451485600553,0.819780800498992
"RSAD2",0.655453758073182,0.975496637495424,0.874780556925131,1.08780845919775
"TAP1",0.00554089919637067,0.814397967210824,0.704423026668112,0.941542260670035
"ABCD2",5.04707620922357e-06,0.794307152139255,0.719496080198328,0.876896857819795
"ACSL1",0.817212976773367,1.01767707828484,0.877158668568948,1.18070615132381
"ACSL5",0.000186122532837276,0.788346338974197,0.695904734186162,0.893067570377765
"ADAM19",0.25166031993677,0.91451543566416,0.784939701440209,1.06548118350173
"ADAM8",0.198023464218711,0.92071961687108,0.811906213331747,1.04411642499014
"ADAMDEC1",0.0669650530871217,0.936546515799267,0.873109126565942,1.00459306811461
"ADAMTSL4",0.0161938106120803,0.850923444085847,0.746007201530419,0.970594796148754
"ADORA2A",0.32798169897392,0.944661099711966,0.842824928955932,1.05880184917463
"ADRB2",0.00146086160020555,0.826558068941645,0.73506067059906,0.929444695736132
"AGMAT",0.0786871054365973,0.872093336659603,0.748705504142079,1.0158156760415
"AIM2",0.0429553707131345,0.911186373693957,0.832712665540131,0.997055337289728
"AKAP7",0.0084898620506273,0.7414869995778,0.59343306686995,0.926478488033727
"ALDH1A1",0.00233309737134994,0.84334563901807,0.755727434944566,0.941122200893722
"ALDH2",0.0148947669515731,0.849066316538172,0.744293230197946,0.968588159384401
"ALPL",0.384234543392656,0.948021435025542,0.840621685117743,1.06914282272174
"ALS2CL",0.164322011789719,0.900328740721729,0.776490411386592,1.0439173871086
"AMPD1",0.00215002018378184,0.848970600218717,0.764674361860414,0.942559494582999
"ANGPTL6",0.260053599183973,0.916647389779091,0.787817210862302,1.06654491118458
"ANKDD1A",0.000423043302026846,0.680328404919121,0.549179564272342,0.842796725608433
"ANKRD22",0.334918398788129,0.943712580095876,0.838877360780806,1.06164914619018
"AP1M2",0.0680967040317714,1.25045334151279,0.983524932671036,1.58982605052422
"APBB1IP",0.00152070552310639,0.796144600000933,0.691497029948106,0.916628989944053
"APOBEC3C",0.00041297646088176,0.764457498999633,0.658594049641626,0.887337606671019
"APOC1",0.0828289368840351,0.893110812302809,0.78601180516117,1.01480272664432
"APOC2",0.657691715098251,0.975178557956601,0.872570038044794,1.08985316757977
"ARHGAP10",0.242645271325372,0.897089654325202,0.747685752321315,1.0763477107846
