Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	109	13.456790123456791	2.1623175628746405E-49	ADAMDEC1, LST1, LY75, DEFB1, CXCL13, IFI44L, VPREB3, IL18RAP, ENPP2, IL12A, HLA-DOB, TRIM22, GBP6, CD96, IL1R2, HLA-F, LAX1, CHIT1, CD8B, SLPI, CD8A, CD274, TCF7, CD1E, CD1D, CFP, CD1C, CD1B, C3, CD79B, ICOS, HLA-DQA2, HLA-DQA1, HLA-DRB5, TNFSF14, PRG4, CD209, GPR183, HLA-DRA, IL7R, HLA-DRB1, LAT, CXCL6, CIITA, CXCL9, PIK3CD, FASLG, CTSW, CXCL5, CX3CL1, SPN, FCRLA, CTLA4, CCR7, CTSG, TNFSF12-TNFSF13, CCR6, CCR5, CCR4, HLA-DPA1, CCR2, FCRL2, CR2, FCRL5, IL15, FCRL6, FCRL3, PDCD1LG2, TNFRSF1B, ZAP70, FCER2, NCR3, AIM2, IRF8, TLR10, PKHD1L1, LTB, HLA-DQB2, HLA-DQB1, PTGER4, CCL14, CCL13, C1R, WAS, CXCR5, CXCR6, CST7, IL2RG, HLA-DMA, CNR2, CXCR3, CCL5, CCL4, CCL2, CCL19, CCL18, S1PR4, IL32, CCL23, CCL22, CCL21, GZMA, CD40LG, IL2RA, CD7, HLA-DPB1, CCL28, IL17B, IL18R1	776	505	19734	5.488940491987343	7.252413105881544E-46	7.25025078831867E-46	6.9518509646419694E-46
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	97	11.975308641975309	9.016508585252906E-47	FCN1, CLEC10A, LY75, IL12B, LAG3, HLA-F, CD8A, CD226, CLEC4E, CLEC4F, GRIA2, CD274, EBI3, CD1E, CSF2RB, VTCN1, CD1D, CD1C, CD1B, LY9, PKHD1, CD79B, CD79A, KLRK1, CD19, SLAMF7, SLAMF6, KLRC1, SLAMF1, MUC16, TNFRSF9, CLEC17A, SELE, SELP, CXCL10, PTPRC, SELL, CD209, CD28, CD27, KLRD1, IL7R, HLA-DRB1, CXCL9, CD40, FASLG, CD3G, TNFRSF13C, ITGAL, CD3E, CD3D, SPN, FCRLA, CA4, FCER1A, CTLA4, CCR7, CD36, CCR6, CCR5, CCR4, CCR2, FCRL2, FCRL5, FCRL6, FCRL3, GP1BA, PDCD1LG2, FCER2, CD200R1, TMIGD2, KIT, TLR8, CD48, MS4A1, HLA-DQB1, CXCR5, CXCR6, IL2RG, CXCR3, IL21R, IL12RB1, IL12RB2, KCNJ3, CD74, F10, CD2, CD40LG, CD5, P2RX1, IL2RA, IL2RB, HLA-DPB1, PDCD1, CD69, FOLR1, CD244	796	429	20887	5.933042250881447	4.1656269663868424E-44	4.1656269663868424E-44	3.922181234585014E-44
GOTERM_CC_DIRECT	GO:0005576~extracellular region	205	25.308641975308642	3.86712535455903E-38	EPHB6, VIT, ADAMDEC1, CALML5, GMFG, PRF1, C4BPA, ICAM4, VPREB3, IL4I1, LIPG, IL12B, IL12A, PTGDS, IL15RA, MUCL1, IL1R2, SERPINF2, CHIT1, ACE2, SFRP1, RBP4, BIN2, SLPI, PADI2, FREM1, PTGFR, CFI, EBI3, KLK5, CFP, PLA2G7, KLK8, KLK7, ART3, KLK6, IL22RA2, PLAC8, C3, C6, C7, PENK, LCN10, APOD, ICOS, NGFR, WNT10A, TSLP, IGF1, LYZ, CP, TF, VNN2, CD209, TCN1, PNOC, CD27, ARHGAP9, TINAGL1, CTSW, CHRDL1, CX3CL1, GLT1D1, GNLY, RSPO3, CTSG, MUC15, CD52, CHST9, FGFBP1, EDN1, FGFBP2, EDN3, IL15, PDCD1LG2, CD200R1, ANGPTL7, CEACAM5, TLR9, DNASE1L3, MATN2, C1QA, CCL13, TNXB, GSTP1, SAA4, PAPLN, PTN, AOAH, LILRA5, NTF4, RELN, WIF1, ABI3BP, RNASE7, CCL19, CCL17, LEFTY2, APOL3, IL33, CCL23, CCL22, F10, CCL21, IL34, LSAMP, KLK13, KLK10, KLK11, SAA1, SAA2, CCL28, F2RL2, FCN1, HP, DEFB1, CXCL13, FGF2, FAM3B, FAM3D, LAG3, ADIPOQ, OLFM4, CD8B, CD8A, COL4A4, COL4A3, LY6D, MASP1, S100A9, S100A8, S100A7, DSC3, COL17A1, WNT6, C6ORF15, CLCA2, PI3, CLCA4, A2ML1, CXCL10, IGSF10, CXCL11, IL6, LCN2, IL7R, CNTNAP3, CXCL6, CXCL9, HSPB6, PLEK, FASLG, CXCL1, CXCL3, CXCL2, CXCL5, ADAMTS1, EMILIN3, LBP, INSL3, ADAMTS8, SRGN, CR2, MMP7, MMP3, VSTM2L, NRG2, TNFRSF1B, FGR, IFNG, MMRN1, CHI3L2, XCL2, CHI3L1, XCL1, COL6A6, MET, LTF, ITIH5, C1S, PCOLCE2, C1R, FGL2, PTPRZ1, SPOCK2, CCL5, CCL4, CCL2, GBP1, PLA2G2D, LAMB3, CMA1, PLA2G2A, B3GAT1, GZMB, S100B, SOD3, CD2, GZMK, MFAP4, GZMM, CD6, XPNPEP2, LEP, PTX3	796	2101	20887	2.5602997137041705	1.786611913806272E-35	8.93305956903136E-36	8.41099764616589E-36
GOTERM_CC_DIRECT	GO:0005615~extracellular space	195	24.074074074074073	4.828637943992949E-35	HPSE2, C4BPA, VPREB3, LIPG, IL12B, IL12A, PTGDS, LGALS7, MIA, SERPINF2, KRT7, KRT5, HLA-F, CHIT1, ACE2, SFRP1, RBP4, SLPI, CFI, EBI3, KLK5, CD1E, CD1D, CFP, CD1C, CD1B, KLK8, KLK7, KLK6, IL22RA2, C3, C6, C7, APOD, PROM1, WNT10A, TNFSF14, TSLP, PRG4, IGF1, LYZ, CP, MARCO, TF, TCN1, HLA-DRB1, PIGR, CD40, TINAGL1, CTSW, CHRDL1, CX3CL1, GNLY, SOSTDC1, CTSG, CD36, FGFBP1, EDN1, EDN3, IL15, TMC8, GP1BA, LIME1, SERPINB5, ANGPTL7, KIT, FAM20A, ANGPTL1, HLA-DQB1, CCL14, CCL13, CSTA, TNXB, GSTP1, PAPLN, PTN, CST7, EGFR, LILRA5, NTF4, RELN, ABI3BP, RNASE7, CCL19, CCL18, CCL17, LEFTY2, IL32, GDF10, IL33, CCL23, CCL22, F10, CCL21, IL34, KLK13, KLK10, KLK11, CD40LG, HLA-DPB1, CCL28, IL17B, FCN1, HP, LOXL4, DEFB1, CXCL13, FGF2, ACTG2, TNN, ENPP2, FAM3B, FAM3D, KRT6C, KRT6B, KRT6A, ADIPOQ, OLFM4, ALDH3A1, MFNG, COL4A4, COL4A3, MASP1, S100A9, S100A8, S100A7, COL17A1, DPT, WNT6, PI3, RARRES1, TFPI2, A2ML1, SELE, SELP, CXCL10, CXCL11, IL6, SELL, LCN2, SCGB3A1, CXCL6, CXCL9, FASLG, CXCL1, CXCL3, HAPLN3, CXCL2, CXCL5, SPN, OBP2B, CPXM1, LBP, TNFSF12-TNFSF13, INSL3, SRGN, CR2, MMP7, CR1, EGFL6, MMP3, NRG2, IFNG, CHI3L2, XCL2, LTA, CHI3L1, XCL1, PKHD1L1, LTB, MS4A1, LTF, KRT81, C1S, PCOLCE2, C1R, FGL2, KRT86, CCL8, SPOCK2, CCL5, CCL4, CCL2, CMA1, GZMA, PLA2G2A, S100B, MUC5B, SOD3, DLK1, MFAP4, CD6, LEP, PTX3, PI16	796	2033	20887	2.5168667983300663	2.2308307301247425E-32	7.436102433749143E-33	7.001525018789777E-33
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	369	45.55555555555556	1.2676368787299508E-33	EPHB6, TRAF3IP3, HPSE2, CLEC10A, LST1, C2ORF88, MRGPRF, PRF1, AQP7, C4BPA, ICAM4, AQP5, SLA2, GPR174, VSIG2, GPR171, TBC1D10C, OXER1, IL15RA, SLC34A2, MUCL1, PRKCB, IL1R2, SLC6A14, ACSL5, HLA-F, ACE2, SFRP1, BIN2, CLDN8, CD226, PRKCQ, CFTR, PTGFR, SLC22A3, ABCB1, TTYH1, RRAD, TXK, CFI, EBI3, SLCO5A1, CD1E, SLC5A1, CD1D, CD1C, CD1B, LY9, ART3, IL22RA2, C3, CD79B, NKAIN1, CD79A, C6, KLRK1, C7, TSPAN8, C14ORF180, INPP5D, KCNMB1, CD19, PENK, TSPAN7, SLC19A3, SLAMF7, SLAMF6, PIP5K1B, ATP6V0A4, PROM1, ICOS, TRPM6, HLA-DQA2, HLA-DQA1, SLAMF1, NGFR, CADM3, HLA-DRB5, TNFSF14, GPR12, ABCA6, ABCA8, CP, MARCO, TF, VNN2, DCHS2, CD209, GPR183, FXYD2, FXYD1, PNOC, TREML2, CD28, FAT2, CD27, RGL4, ITM2A, MRAP2, HLA-DRB1, GPR18, SCN2B, ITK, PIGR, CD40, TNFRSF13B, CD3G, HIF3A, TNFRSF13C, CD3E, SLC7A10, CHRDL1, CD3D, CX3CL1, LIMD2, CHL1, MRC1, RAC2, FCER1A, CD38, CTLA4, CCR7, ANXA8, CD37, CTSG, CCR6, MUC15, CD36, CCR5, JAK3, CCR4, HLA-DPA1, OXGR1, CCR2, FCRL1, CD53, CD52, FGFBP1, MME, ANXA3, FCRL6, TESC, TMC8, GP1BA, TACR1, RHOF, PDCD1LG2, SYN2, PRSS12, RGMA, CLDN11, MRAP, FCER2, CLDN10, NCR3, CD200R1, CEACAM5, KIT, B3GNT3, PLIN4, TLR9, CLDN19, TLR8, HCLS1, TLR10, CD48, HCST, HLA-DQB2, HLA-DQB1, PTGER4, ADH1C, ADH1B, KCNA1, PAPLN, CXCR5, KCNA3, WAS, PTN, CXCR6, EGFR, STX11, LILRA4, LILRA5, SLC7A3, C10ORF90, RELN, PTCHD1, CXCR3, DMD, GABRE, IL12RB1, IL12RB2, GABRP, CD74, P2RY10, F10, IL10RA, GPR55, CARD9, ECEL1, LSAMP, KIR3DL2, SNX20, CD40LG, KCNS1, HLA-DPB1, PLP1, CD69, LGR6, F2RL2, IL18R1, SLC28A3, FCN1, KCNG1, CHRM1, NCF1, SIRPG, NPY2R, LY75, RGS2, IL18RAP, CDH3, SIT1, GRAP2, LAMP3, ENPP2, TNFRSF8, HLA-DOA, TGM5, PPP1R16B, CD96, LAG3, SCARA5, KCNH8, MATK, OLFM4, IPCEF1, LAX1, EDAR, ALDH3A1, GPRIN2, CD8B, CD8A, LY6D, PKP1, SLC27A6, CARD16, PTPRCAP, CLEC4E, RHCG, S100A9, S100A8, CARD11, DSC3, BLK, COL17A1, GRIA2, CD274, KCNE1, KLRB1, GPR87, RASAL1, CSF2RB, ADRB2, ARHGAP15, RASGRP2, CORO1A, KIR2DL4, WNT6, BTLA, CLCA2, TNFRSF17, KLRC1, CD300LG, CLCA4, GRIA4, MUC16, TNFRSF9, CRTAM, NKG7, BMX, ESR1, SELE, SYT8, SELP, KIAA1755, PTPRC, TRPV6, SELL, SLCO1A2, HLA-DRA, KLRD1, BMPR1B, IL7R, LAT, CNTNAP3, KCNK5, PLEK, RASGRF1, PIK3CD, PIK3C2G, FASLG, ITGAL, SPN, TMEM100, PSTPIP1, CA4, CNGA1, CASP1, ITGB7, SLC13A2, CR2, CR1, MRGPRX3, PVRIG, AVPR2, NRG2, TNFRSF1B, FGR, ZAP70, LCK, CDHR1, LTA, DSG1, DSG3, LTB, MET, MS4A1, LTF, RGS18, CLEC12A, NRXN2, IL2RG, TSPAN32, P2RY8, PTPRZ1, SV2B, CNR2, IL21R, TIGIT, GBP1, S1PR4, GBP4, KCNJ3, KLRG1, SLC12A3, KCNJ10, TRAT1, PLA2G2A, KCNJ16, SYT13, MUC5B, CD2, CLCN4, CD6, XPNPEP2, CD5, P2RX1, IL2RA, CD7, IL2RB, ATP13A5, PDCD1, PTPN7, CD247, EVI2B, FOLR1, CD244, MYO1G	796	5592	20887	1.731498829986844	5.856482379732372E-31	1.464120594933093E-31	1.3785551056188215E-31
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	81	10.0	1.1455568771962341E-32	CXCL6, CXCL9, CD40, LY75, PIK3CD, TNFAIP3, CXCL1, CXCL13, ITGAL, CXCL3, CXCL2, CXCL5, CX3CL1, PSTPIP1, IL18RAP, CCR7, CCR5, CCR4, CCR2, GBP5, CD96, TACR1, TNFRSF1B, FOXP3, NCR3, AIM2, KIT, XCL2, TLR9, CHI3L1, XCL1, TLR8, TLR10, PRKCQ, S100A9, S100A8, IDO1, CCL14, PTGER4, CCL13, PTGFR, PLD4, CXCR6, C3, CCL8, FUT7, CNR2, CXCR3, CCL5, CCL4, CCL2, DMD, CCL19, CCL18, CCL17, APOL3, KLRG1, PLA2G2D, CCL23, CCL22, CCL21, IL34, PLA2G2A, NKG7, LYZ, SELE, SELP, CXCL10, CXCL11, IL6, CD40LG, KRT16, TNIP3, IL2RA, PLP1, PTX3, CDO1, BMPR1B, LAT, IL17B, IL18R1	776	422	19734	4.881192895881174	3.8421977661161694E-29	1.9205261046194863E-29	1.8414826800929463E-29
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	75	9.25925925925926	2.1508921392289893E-31	CXCL6, CXCL9, CD40, TNFRSF13B, FASLG, CXCL1, TNFRSF13C, CXCL13, CXCL3, CXCL2, CXCL5, CX3CL1, IL18RAP, IL12B, TNFRSF8, IL12A, CCR7, CCR6, CCR5, CCR4, CCR2, IL15RA, IL15, IL1R2, TNFRSF1B, EDAR, IFNG, XCL2, LTA, XCL1, LTB, CCL14, CCL13, EBI3, CXCR5, CSF2RB, CXCR6, IL2RG, CCL8, CXCR3, CCL5, CCL4, IL21R, CCL2, TNFRSF17, CCL19, IL12RB1, CCL18, CCL17, IL12RB2, IL32, GDF10, NGFR, IL33, CCL23, CCL22, TNFSF14, CCL21, TSLP, IL34, IL10RA, TNFRSF9, CXCL10, CXCL11, IL6, CD40LG, IL2RA, LEP, IL2RB, CD27, BMPR1B, IL7R, CCL28, IL17B, IL18R1	462	298	8840	4.815654144513205	6.495694260471548E-29	6.517203181863838E-29	5.549301719210793E-29
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	43	5.3086419753086425	3.5328219410250424E-28	CCL14, CCL13, CXCL6, CXCL9, CXCR5, CXCL1, CXCL13, CXCL3, IL2RG, CXCL2, CXCL5, CX3CL1, CCL8, IL18RAP, CCL5, CXCR3, CCL4, CCL2, CCR7, CCR6, CCL19, CCR5, CCL18, CCR4, CCL17, CCR2, CCL23, CCL22, CCL21, TNFSF14, IL34, IL10RA, TNFRSF1B, CXCL10, CXCL11, IL6, IL2RA, IL2RB, LTA, XCL2, XCL1, CCL28, IL18R1	462	100	8840	8.227705627705628	1.0669122261895628E-25	5.352225240652939E-26	4.5573403039223047E-26
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	32	3.950617283950617	2.3123568956426347E-25	CCL14, CCL13, CXCL6, FOXC1, CXCL9, CXCR5, CXCL1, CXCR6, CXCL13, CXCL3, CXCL2, CXCL5, CX3CL1, CCL8, CCL5, CXCR3, CCL4, CCL2, CCR6, CCL19, CCR5, CCL18, CCR4, CCL17, CCR2, CCL23, CCL22, CCL21, CXCL10, CXCL11, XCL2, XCL1	776	70	19734	11.625331369661266	7.755645027985396E-22	2.584444223696585E-22	2.4780758064970235E-22
GOTERM_CC_DIRECT	GO:0009986~cell surface	88	10.864197530864198	9.53328167903325E-25	EPHB6, CIITA, CD40, CLEC9A, ITGAL, CX3CL1, SPN, TNN, LAMP3, MRC1, LIPG, CA4, FCER1A, CD38, CCR7, ITGB7, CD36, CCR6, LBP, CCR5, HLA-DPA1, FCRL1, CD53, FCRL2, IL15RA, FGFBP1, CR1, SCARA5, MME, FCRL5, FCRL3, ADIPOQ, SERPINF2, GP1BA, TACR1, HLA-F, RGMA, ACE2, SFRP1, CD200R1, CD8B, CEACAM5, KIT, LY6D, CD226, CRYAB, MET, MS4A1, HCST, CFTR, LTF, KCNE1, ABCB1, KLRB1, KCNA1, CD1D, IL2RG, CD1B, EGFR, TSPAN32, LILRA5, C3, WNT6, HLA-DMA, KLRK1, TSPAN8, WIF1, CXCR3, DMD, PROM1, TIGIT, NGFR, CD74, CLEC17A, CD2, LRFN5, TF, PTPRC, CD40LG, CD6, CD209, IL2RB, TREML2, HLA-DPB1, CD28, HLA-DRA, FOLR1, HLA-DRB1	796	657	20887	3.5146355827845475	4.404376135713361E-22	8.808752271426723E-23	8.293955060758927E-23
