"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"PLAC8",-2.14892920618255,4.3679257930843,-22.245197580987,2.75456431326873e-89,4.64557271432772e-85,192.744105365695,"PLAC8"
"GIMAP5",-1.32868787260523,7.92458220136393,-21.3660762639037,1.20887999919529e-83,9.60285623050271e-80,179.824750955619,"GIMAP5"
"TNFRSF8",-1.48743903549732,4.26150733888845,-21.3425074355299,1.70818669976331e-83,9.60285623050271e-80,179.480954252138,"TNFRSF8"
"TNFRSF1B",-1.16309455329146,9.37778575440696,-21.3227096435065,2.28357862043555e-83,9.62813835841138e-80,179.19227347167,"TNFRSF1B"
"DACT2",-1.98308723445845,2.29232269503193,-21.2541696745905,6.23410218179228e-83,2.10276266591854e-79,178.193626757824,"DACT2"
"CD7",-1.89263614804977,5.81194160540869,-20.9612584640344,4.49572935329172e-81,1.26367459238775e-77,173.939466672687,"CD7"
"CCL5",-1.84499411441145,9.02896734434051,-20.8925208659399,1.22293678808443e-80,2.94640413300627e-77,172.944407196913,"CCL5"
"S1PR4",-1.78744211455678,4.73389740999699,-20.7119122502135,1.68536403077363e-79,3.55295804737467e-76,170.335943487677,"S1PR4"
"NKG7",-1.93365302416717,6.18558329995612,-20.665458402635,3.30447041622479e-79,6.19221039662568e-76,169.666466745706,"NKG7"
"PRF1",-1.75790632613685,6.1662153702295,-20.4820883225238,4.68595315122405e-78,7.90285998953935e-75,167.029655754391,"PRF1"
"CD247",-1.82178891283996,5.93092194598896,-20.4380555190159,8.84593758689898e-78,1.35624306730047e-74,166.397884203655,"CD247"
"CD3D",-2.05162760677263,6.02157076377498,-20.4286141692387,1.013631286111e-77,1.42457430335517e-74,166.262493826738,"CD3D"
"LGALS2",-2.17593117880615,3.75830654569081,-20.4148011692356,1.2370242162624e-77,1.6048010313281e-74,166.064459095728,"LGALS2"
"HCST",-1.4086502000611,6.62899626632391,-20.3300690403733,4.19236215049893e-77,5.05029911915461e-74,164.850863694592,"HCST"
