Tag	PSME2	DACT2	PIGR	STX11	Riskcsore
Angiogenesis	-0.123945807098712	0.147279304784531	0.153695880460232	0.273437977982327	-0.170174970483607
Endothelium	-0.0572295059108359	0.303446063988907	0.304293771720372	0.420006896867112	-0.370373443808488
Cancer-associated fibroblasts	-0.0783324372189654	0.158610816351317	0.171624839563597	0.313077451525646	-0.196481767527541
Matrix	-0.106126425046668	0.323155560324021	0.270253059645054	0.251342405192033	-0.28289140939551
Matrix remodeling	0.0666043418757201	0.140764141581371	0.0707073703416994	0.354698725852508	-0.231920451339105
Protumor cytokines	-0.0117308017699224	0.245801611543841	0.222876414719134	0.278036361844224	-0.277061363153797
Neutrophil signature	0.128065385606786	-0.158006868949002	-0.0589045539587116	0.110731932046001	0.0175839228237084
Granulocyte traffic	0.0682085869798859	0.133117842926166	0.201451334005401	0.297164774608161	-0.267161608769653
Tumor-associated Macrophages	0.325457381220981	0.022646300975067	0.0431995841994672	0.663980032142879	-0.383244989070893
Macrophage and DC traffic	0.334631483413111	0.15540116426984	0.152777032058595	0.73735278646435	-0.523225237043723
Myeloid cells traffic	0.137009429312729	0.251641868185237	0.233313760587588	0.687619373920486	-0.502355681707485
Immune Suppression by Myeloid Cells	0.381628533786811	0.177714831197206	0.128670581368718	0.716216712185291	-0.534515532674405
Th2 signature	0.251155589207293	0.00534626843267482	0.0443431762939728	0.598787754839128	-0.321818182318035
Treg and Th2 traffic	0.317201087575422	0.242150154656173	0.366451027393874	0.49247995676462	-0.53880495623088
Treg	0.38601872441602	-0.079637910817509	0.0758001453867052	0.388178360078882	-0.259782802234775
M1 signature	0.332611688791674	0.195219862978793	0.0990733820659773	0.69445804980472	-0.501513708096856
MHCII	0.426976301183966	0.214145838176557	0.28879193086656	0.693902352596205	-0.610466430030486
Antitumor cytokines	0.358042801178736	0.0186963388895133	0.190483674397971	0.402824869186043	-0.359142139725966
Co-activation molecules	0.46005631298032	0.12715086214937	0.0447684524296793	0.657069718427676	-0.478724373751657
B cells	0.329348489664847	0.306191633388552	0.275558506359194	0.517501751059582	-0.547326705683401
NK cells	0.502686333139106	0.167557617320538	0.15735606185064	0.589128518057986	-0.543188487679634
Checkpoint molecules	0.541427095976561	0.064795534399643	0.098695783092832	0.665683235931043	-0.505803559305399
Effector cells	0.498553760117393	0.250265364394241	0.227447875059051	0.624814342108808	-0.614207860226687
T cells	0.439144957581313	0.261637312291682	0.249078137410998	0.668270390437695	-0.616138037290222
Th1 signature	0.363134799402832	0.234806633416981	0.116853450840179	0.558356782845448	-0.496406173915161
Effector cell traffic	0.492152413438578	0.257974389479542	0.231472758640163	0.669260759319037	-0.632007044773614
MHCI	0.560703806318479	0.129007425128899	0.148810834641445	0.554232213039375	-0.527389945038462
EMT signature	-0.111678485259297	0.210040811075124	0.126836599034284	0.375943429866553	-0.2310396957952
Tumor proliferation rate	0.235064318627087	-0.119163678381411	-0.254235139776609	-0.0524883655039846	0.0852663751566161
